ANIO;MES;UT;UBIGEOCG;NOMDEP;NOMPRO;NOMDIS;NOMCOM;UBIGEO_LOCAL;NOMDEPLOC;NOMPROLOC;NOMDISLOC;CCPP_LOCAL;NOM_CCPP;NOMLOC;SEXO;FECNACUSU;EDAD_USU
2023;12;UT AYACUCHO;50701;AYACUCHO;PARINACOCHAS;CORACORA;VIRGEN DE LAS NIEVES DE CORACORA;50701;AYACUCHO;PARINACOCHAS;CORACORA;507010001;CORACORA;PSCNP_VISTA ALEGRE;F;4/04/2021;32
2023;12;UT AYACUCHO;50701;AYACUCHO;PARINACOCHAS;CORACORA;VIRGEN DE LAS NIEVES DE CORACORA;50701;AYACUCHO;PARINACOCHAS;CORACORA;507010001;CORACORA;PSCNP_VISTA ALEGRE;M;4/01/2021;35
2023;12;UT AYACUCHO;50701;AYACUCHO;PARINACOCHAS;CORACORA;VIRGEN DE LAS NIEVES DE CORACORA;50701;AYACUCHO;PARINACOCHAS;CORACORA;507010001;CORACORA;PSCNP_VISTA ALEGRE;M;27/06/2021;30
2023;12;UT AYACUCHO;50701;AYACUCHO;PARINACOCHAS;CORACORA;VIRGEN DE LAS NIEVES DE CORACORA;50701;AYACUCHO;PARINACOCHAS;CORACORA;507010001;CORACORA;PSCNP_VISTA ALEGRE;F;25/11/2021;25
2023;12;UT AYACUCHO;51001;AYACUCHO;VICTOR FAJARDO;HUANCAPI;VIRGEN ASUNCION DE HUANCAPI;51009;AYACUCHO;VICTOR FAJARDO;HUANCARAYLLA;510090001;HUANCARAYLLA;HUANCARAYLLA;F;8/09/2022;15
2023;12;UT AYACUCHO;51001;AYACUCHO;VICTOR FAJARDO;HUANCAPI;VIRGEN ASUNCION DE HUANCAPI;51009;AYACUCHO;VICTOR FAJARDO;HUANCARAYLLA;510090001;HUANCARAYLLA;HUANCARAYLLA;M;29/09/2022;15
2023;12;UT AYACUCHO;51001;AYACUCHO;VICTOR FAJARDO;HUANCAPI;VIRGEN ASUNCION DE HUANCAPI;51009;AYACUCHO;VICTOR FAJARDO;HUANCARAYLLA;510090001;HUANCARAYLLA;HUANCARAYLLA;F;9/12/2022;12
2023;12;UT AYACUCHO;51001;AYACUCHO;VICTOR FAJARDO;HUANCAPI;VIRGEN ASUNCION DE HUANCAPI;51009;AYACUCHO;VICTOR FAJARDO;HUANCARAYLLA;510090001;HUANCARAYLLA;HUANCARAYLLA;M;18/01/2023;11
2023;12;UT AYACUCHO;51001;AYACUCHO;VICTOR FAJARDO;HUANCAPI;VIRGEN ASUNCION DE HUANCAPI;51009;AYACUCHO;VICTOR FAJARDO;HUANCARAYLLA;510090001;HUANCARAYLLA;HUANCARAYLLA;M;27/08/2021;28
2023;12;UT AYACUCHO;51001;AYACUCHO;VICTOR FAJARDO;HUANCAPI;VIRGEN ASUNCION DE HUANCAPI;51009;AYACUCHO;VICTOR FAJARDO;HUANCARAYLLA;510090001;HUANCARAYLLA;HUANCARAYLLA;M;15/09/2021;27
2023;12;UT AYACUCHO;51001;AYACUCHO;VICTOR FAJARDO;HUANCAPI;VIRGEN ASUNCION DE HUANCAPI;51009;AYACUCHO;VICTOR FAJARDO;HUANCARAYLLA;510090001;HUANCARAYLLA;HUANCARAYLLA;F;5/04/2021;32
2023;12;UT AYACUCHO;51001;AYACUCHO;VICTOR FAJARDO;HUANCAPI;VIRGEN ASUNCION DE HUANCAPI;51009;AYACUCHO;VICTOR FAJARDO;HUANCARAYLLA;510090001;HUANCARAYLLA;HUANCARAYLLA;F;22/10/2021;26
2023;12;UT AYACUCHO;51001;AYACUCHO;VICTOR FAJARDO;HUANCAPI;VIRGEN ASUNCION DE HUANCAPI;51009;AYACUCHO;VICTOR FAJARDO;HUANCARAYLLA;510090001;HUANCARAYLLA;HUANCARAYLLA;M;9/12/2020;36
2023;12;UT AYACUCHO;51001;AYACUCHO;VICTOR FAJARDO;HUANCAPI;VIRGEN ASUNCION DE HUANCAPI;51009;AYACUCHO;VICTOR FAJARDO;HUANCARAYLLA;510090001;HUANCARAYLLA;HUANCARAYLLA;F;27/11/2021;25
2023;12;UT AYACUCHO;51001;AYACUCHO;VICTOR FAJARDO;HUANCAPI;VIRGEN ASUNCION DE HUANCAPI;51009;AYACUCHO;VICTOR FAJARDO;HUANCARAYLLA;510090001;HUANCARAYLLA;HUANCARAYLLA;M;10/01/2022;23
