id;ubigeo_colegio_dpto;ubigeo_colegio_prov;ubigeo_colegio_dist;pais_colegio;fecha_egreso_colegio;sexo;fecha_nacimiento;especialidad_de_postulacion;fecha_postulacion;modalidad;ubigeo_direccion_dpto;ubigeo_direccion_prov;ubigeo_direccion_dist;pais_nacimiento;ubigeo_nacimiento_dpto;ubigeo_nacimiento_prov;ubigeo_nacimiento_dist;calificacion_final_postulante;estado_admitido
7861aa6fcc13341d86dcec317f2f2757;LIMA;LIMA;COMAS;PERU;2017;M;2000;INGENIERIA MECANICA;2018;ORDINARIO;LIMA;LIMA;COMAS;PERU;LIMA;LIMA;PUEBLO LIBRE;14.57;SI
fa6b77e1d0c623d9b26d5067605fd089;ANCASH;HUARAZ;INDEPENDENCIA;PERU;2013;F;1998;INGENIERIAiNDUSTRIAL;2018;EXTRAORDINARIO2 iNGRESO DIRECTO CEPRE;LIMA;LIMA;SAN MARTIN DE PORRES;PERU;ANCASH;HUARAZ;HUARAZ;11.699;NO
8c295f9159a395f0290d455e471e19c4;LIMA;LIMA;CHORRILLOS;PERU;2016;M;2000;INGENIERIA GEOLOGICA;2018;EXTRAORDINARIO2 iNGRESO DIRECTO CEPRE;LIMA;LIMA;CHORRILLOS;PERU;LIMA;LIMA;MIRAFLORES;14.992;SI
e82a150464e82361573f4765c25fc6cf;LIMA;LIMA;SAN JUAN DE LURIGANCHO;PERU;2016;F;1999;INGENIERIA CIVIL;2018;EXTRAORDINARIO2 iNGRESO DIRECTO CEPRE;LIMA;LIMA;SAN JUAN DE LURIGANCHO;PERU;LIMA;LIMA;JESUS MARIA;14.012;SI
0cfe5566e0912d358798a05e25346dc7;LIMA;LIMA;SAN JUAN DE MIRAFLORES;PERU;2015;F;1999;INGENIERIA QUIMICA;2018;EXTRAORDINARIO2 iNGRESO DIRECTO CEPRE;LIMA;LIMA;SAN JUAN DE MIRAFLORES;PERU;LIMA;LIMA;LIMA;9.241;NO
5f1ff3c10dfafd0c28623d59438aae87;LIMA;LIMA;LOS OLIVOS;PERU;2017;M;2001;INGENIERIA MECATRONICA;2018;EXTRAORDINARIO1 VICTIMAS DEL TERRORISMO (iniciar estudios);LIMA;LIMA;PUENTE PIEDRA;PERU;LIMA;LIMA;LOS OLIVOS;6.75;NO
8fc04e13a1974efbff56dbc5a1e1471c;LIMA;LIMA;SAN MARTIN DE PORRES;PERU;2017;M;2001;INGENIERIA QUIMICA;2018;EXTRAORDINARIO2 iNGRESO DIRECTO CEPRE;LIMA;LIMA;LOS OLIVOS;PERU;ANCASH;HUAYLAS;CARAZ;11.341;NO
947a71e5bc04a0727ca85413ce97ca7c;LIMA;LIMA;JESUS MARIA;PERU;2016;M;2000;MATEMATICA;2018;ORDINARIO;LIMA;LIMA;LA VICTORIA;PERU;JUNIN;YAULI;LA OROYA;5.214;NO
b1b2bfccb135a489dc40921c80deacbe;APURIMAC;ANDAHUAYLAS;ANDAHUAYLAS;PERU;2016;M;2001;INGENIERIA MECATRONICA;2018;EXTRAORDINARIO2 iNGRESO DIRECTO CEPRE;LIMA;LIMA;MAGDALENA DEL MAR;PERU;APURIMAC;ANDAHUAYLAS;ANDAHUAYLAS;11.515;NO
7f385937efadf37b88104b320f7d1396;LIMA;LIMA;EL AGUSTINO;PERU;2016;M;2000;INGENIERIA PETROQUIMICA;2018;ORDINARIO;LIMA;LIMA;LIMA;PERU;LIMA;LIMA;LIMA;5.897;NO
f774abf278b02108472929af4db15a4d;LIMA;LIMA;SAN JUAN DE LURIGANCHO;PERU;2015;M;1999;INGENIERIA MECANICA-ELECTRICA;2018;EXTRAORDINARIO2 iNGRESO DIRECTO CEPRE;LIMA;LIMA;SAN JUAN DE LURIGANCHO;PERU;LIMA;LIMA;SAN JUAN DE LURIGANCHO;9.617;NO
076c4ba1c9c8f3d0eb2ec4c7ee472a3f;LIMA;LIMA;LIMA;PERU;2017;M;2001;INGENIERIA DE MINAS;2018;EXTRAORDINARIO2 iNGRESO DIRECTO CEPRE;LIMA;LIMA;LIMA;PERU;SAN MARTIN;TOCACHE;UCHIZA;6.941;NO
9d88e0dec5c3ff3c43fc0a7656808091;LIMA;LIMA;EL AGUSTINO;PERU;2016;M;2000;INGENIERIA CIVIL;2018;ORDINARIO;LIMA;LIMA;EL AGUSTINO;PERU;LIMA;LIMA;ATE;6.288;NO
67bb50d9ba396ee201650510808687eb;LIMA;LIMA;PUENTE PIEDRA;PERU;2016;F;2000;INGENIERIAiNDUSTRIAL;2018;EXTRAORDINARIO2 iNGRESO DIRECTO CEPRE;CALLAO;PROV. CONST. DEL CALLAO;VENTANILLA;PERU;LIMA;LIMA;SAN JUAN DE MIRAFLORES;15.062;SI
e83a5d51d12ba7b6fd6f24bd545c5764;LIMA;LIMA;SAN MARTIN DE PORRES;PERU;2014;M;1997;INGENIERIA DE SISTEMAS;2018;ORDINARIO;LIMA;LIMA;INDEPENDENCIA;PERU;LIMA;LIMA;INDEPENDENCIA;4.831;NO
3077905bee0dade61f1a2cc4c57feec1;JUNIN;TARMA;TARMA;PERU;2013;M;1997;INGENIERIA MECANICA-ELECTRICA;2018;ORDINARIO;LIMA;HUAROCHIRI;SAN ANTONIO;PERU;JUNIN;TARMA;TARMA;11.333;NO
f3d4f07cb712977e048c683636cd4312;LA LIBERTAD;BOLIVAR;UCHUMARCA;PERU;2017;M;2000;INGENIERIA CIVIL;2018;ORDINARIO;LIMA;LIMA;SAN JUAN DE LURIGANCHO;PERU;LA LIBERTAD;BOLIVAR;UCHUMARCA;2.444;NO
2757a3626ee51ef4845653bd2674f327;LIMA;LIMA;SANTA ANITA;PERU;2017;M;2001;INGENIERIA CIVIL;2018;ORDINARIO;LIMA;LIMA;EL AGUSTINO;PERU;LIMA;LIMA;LIMA;8.302;NO
896f2fcd3b92eb4072d3e33101621de2;APURIMAC;ABANCAY;ABANCAY;PERU;2016;M;2000;INGENIERIA MECANICA-ELECTRICA;2018;EXTRAORDINARIO2 iNGRESO DIRECTO CEPRE;LIMA;LIMA;LIMA;PERU;APURIMAC;ABANCAY;ABANCAY;11.753;NO
eead8b1d3c7fb8fa4d90a1d708a7b14b;LIMA;LIMA;SAN JUAN DE LURIGANCHO;PERU;2016;M;2000;INGENIERIA DE MINAS;2018;ORDINARIO;LIMA;LIMA;SAN JUAN DE LURIGANCHO;PERU;HUANCAVELICA;HUANCAVELICA;PALCA;6.558;NO
a0c68fafb493cfbbd4f0dd1bc6e26f2b;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;PERU;2017;F;2001;INGENIERIAiNDUSTRIAL;2018;EXTRAORDINARIO1 DIPLOMADOS CON BACHILLERATO;CAJAMARCA;JAEN;JAEN;PERU;CAJAMARCA;JAEN;JAEN;4.888;NO
da1bad28c497523a1a227b69e0600f57;LIMA;LIMA;CARABAYLLO;PERU;2015;M;1999;INGENIERIA CIVIL;2018;ORDINARIO;LIMA;LIMA;COMAS;PERU;LIMA;LIMA;COMAS;11.696;NO
50762cc3c96f83453aafee71918e2e05;CALLAO;PROV. CONST. DEL CALLAO;CALLAO;PERU;2016;M;2000;INGENIERIA AMBIENTAL;2018;ORDINARIO;LIMA;LIMA;SAN MARTIN DE PORRES;PERU;ANCASH;HUARI;HUARI;11.535;SI
deae45dd1c5b2390a836bbb1622a8075;LIMA;LIMA;LA MOLINA;PERU;2017;M;2001;INGENIERIA DE SISTEMAS;2018;EXTRAORDINARIO2 iNGRESO DIRECTO CEPRE;LIMA;LIMA;LA MOLINA;PERU;LIMA;LIMA;LIMA;6.918;NO
ac2cd7db60ecef390af3bd1ab48ff63e;LIMA;LIMA;COMAS;PERU;2014;F;1998;ARQUITECTURA;2018;EXTRAORDINARIO2 iNGRESO DIRECTO CEPRE;LIMA;LIMA;LIMA;PERU;LIMA;LIMA;LIMA;13.978;SI
0015638a38e35eb1715b18b1bfa63e6f;LIMA;LIMA;VILLA EL SALVADOR;PERU;2012;M;1996;INGENIERIA MECANICA;2018;EXTRAORDINARIO2 iNGRESO DIRECTO CEPRE;LIMA;LIMA;SAN JUAN DE MIRAFLORES;PERU;LIMA;LIMA;MIRAFLORES;12.537;NO
c51e738bc447869731d632344b96f242;ANCASH;HUARAZ;HUARAZ;PERU;2016;M;2000;INGENIERIA SANITARIA;2018;EXTRAORDINARIO2 iNGRESO DIRECTO CEPRE;LIMA;LIMA;PUENTE PIEDRA;PERU;ANCASH;HUARAZ;HUARAZ;8.876;NO
8930199c970156af91530c943892e093;LIMA;LIMA;LINCE;PERU;2014;F;1997;ARQUITECTURA;2018;ORDINARIO;LIMA;LIMA;LINCE;PERU;LIMA;LIMA;LIMA;5.019;NO
91b0e5ae7ae85582bb506d0ac8c16266;LIMA;LIMA;PUENTE PIEDRA;PERU;2015;M;1999;ARQUITECTURA;2018;EXTRAORDINARIO2 iNGRESO DIRECTO CEPRE;LIMA;LIMA;PUENTE PIEDRA;PERU;LIMA;LIMA;PUENTE PIEDRA;9.155;NO
602c3cfa742813b68ed25624177f4e9e;JUNIN;TARMA;HUASAHUASI;PERU;2016;M;2000;INGENIERIA ELECTRONICA;2018;ORDINARIO;JUNIN;TARMA;HUASAHUASI;PERU;JUNIN;TARMA;HUASAHUASI;5.447;NO
2447c7c351391ef66a8693f528ff2bcf;AYACUCHO;SUCRE;CHILCAYOC;PERU;2016;F;2000;ARQUITECTURA;2018;EXTRAORDINARIO1 DOS PRIMEROS ALUMNOS;LIMA;LIMA;SANTA ANITA;PERU;AYACUCHO;SUCRE;CHILCAYOC;3.128;NO
75786218cf1c08d5d1b2efbee4a9b79f;LIMA;LIMA;BRENA;PERU;2017;M;2000;INGENIERIA CIVIL;2018;ORDINARIO;LIMA;LIMA;LIMA;PERU;LIMA;LIMA;LIMA;4.956;NO
e2e3928a0edc245fcbdb034872b2ddac;LIMA;LIMA;JESUS MARIA;PERU;2006;M;1989; FISICA;2018;ORDINARIO;LIMA;LIMA;BRENA;PERU;LIMA;LIMA;JESUS MARIA;9.424;NO
56ac98977c34ba901848d718f4a4732a;LIMA;LIMA;CARABAYLLO;PERU;2016;M;2000;INGENIERIAiNDUSTRIAL;2018;ORDINARIO;LIMA;LIMA;LIMA;PERU;LIMA;LIMA;LIMA;4.641;NO
3e66990c6092464b6214d4598b395e9c;LIMA;LIMA;BARRANCO;PERU;2017;M;2001;INGENIERIA DE SISTEMAS;2018;EXTRAORDINARIO1 DOS PRIMEROS ALUMNOS;LIMA;LIMA;CHORRILLOS;PERU;LIMA;LIMA;CHORRILLOS;5.903;NO
b54ba37ea819d727269b7e1bb4b31171;LIMA;LIMA;CHORRILLOS;PERU;2017;M;2000;INGENIERIAiNDUSTRIAL;2018;EXTRAORDINARIO1 DOS PRIMEROS ALUMNOS;LIMA;LIMA;CHORRILLOS;PERU;LIMA;LIMA;CHORRILLOS;7.727;NO
c915c7fae5920d25bfc62bfd261af0e9;LIMA;LIMA;LIMA;PERU;2017;M;2000;INGENIERIAiNDUSTRIAL;2018;ORDINARIO;LIMA;LIMA;LA VICTORIA;PERU;PUNO;PUNO;PUNO;9.005;NO
ad93ad03b8e4b86e2f03e9b9e6ac1269;AYACUCHO;HUANTA;HUANTA;PERU;2014;M;1997;INGENIERIA CIVIL;2018;ORDINARIO;LIMA;LIMA;SAN JUAN DE LURIGANCHO;PERU;HUANCAVELICA;CHURCAMPA;ANCO;13.281;NO
